Lines	F2_MLA	F3_MLA
PHW30_Mo17_155:250563627	77	51.29566667
PHW30_Mo17_157:250563628	61	51.13933333
PHW30_Mo17_160:250563629	59	49.436
PHW30_Mo17_161:250563630	61	54.115
PHW30_Mo17_165:250563631	54	43.7205
PHW30_Mo17_166:250563632	55	54.30466667
PHW30_Mo17_178:250563652	78	NA
PHW30_Mo17_179:250563633	69	57.13833333
PHW30_Mo17_180:250563634	67	66.37166667
PHW30_Mo17_187:250563635	77	66.42266667
PHW30_Mo17_188:250563636	69	60.912
PHW30_Mo17_194:250563637	67	58.90933333
PHW30_Mo17_195:250563638	57	41.46833333
PHW30_Mo17_234:250563639	82	67.79433333
PHW30_Mo17_242:250563640	76	53.69283333
PHW30_Mo17_252:250563641	68	52.57633333
PHW30_Mo17_266:250563642	77	71.01566667
PHW30_Mo17_278:250563643	56	56.17283333
PHW30_Mo17_297:250563644	60	60.25116667
PHW30_Mo17_298:250563645	60	55.76583333
PHW30_Mo17_299:250563646	60	59.9675
PHW30_Mo17_304:250563647	68	66.635
PHW30_Mo17_308:250563648	80	73.918
PHW30_Mo17_315:250563649	82	70.05116667
