Genotype	Population	LA	Selected	Group
B73/PHW30_143	B73/PHW30	70.961	No	
B73/PHW30_144	B73/PHW30	68.454	No	
B73/PHW30_145	B73/PHW30	74.195	No	
B73/PHW30_146	B73/PHW30	62.249	No	
B73/PHW30_147	B73/PHW30	66.116	No	
B73/PHW30_148	B73/PHW30	67.414	No	
B73/PHW30_149	B73/PHW30	70.501	No	
B73/PHW30_150	B73/PHW30	69.716	No	
B73/PHW30_151	B73/PHW30	70.622	No	
B73/PHW30_152	B73/PHW30	59.978	Yes	Flat
B73/PHW30_153	B73/PHW30	74.197	No	
B73/PHW30_154	B73/PHW30	77.406	Yes	Upright
B73/PHW30_155	B73/PHW30	62.848	No	
B73/PHW30_156	B73/PHW30	68.172	No	
B73/PHW30_157	B73/PHW30	64.39	No	
B73/PHW30_158	B73/PHW30	72.762	No	
B73/PHW30_159	B73/PHW30	62.561	No	
B73/PHW30_160	B73/PHW30	69.495	No	
B73/PHW30_161	B73/PHW30	69.491	No	
B73/PHW30_162	B73/PHW30	67.939	No	
B73/PHW30_163	B73/PHW30	75.792	Yes	Upright
B73/PHW30_164	B73/PHW30	70.71	No	
B73/PHW30_165	B73/PHW30	66.774	No	
B73/PHW30_166	B73/PHW30	68.173	Yes	Average
B73/PHW30_167	B73/PHW30	64.833	No	
B73/PHW30_168	B73/PHW30	71.46	No	
B73/PHW30_169	B73/PHW30	78.649	No	
B73/PHW30_170	B73/PHW30	73.692	No	
B73/PHW30_171	B73/PHW30	71.787	No	
B73/PHW30_172	B73/PHW30	69.799	No	
B73/PHW30_173	B73/PHW30	72.921	No	
B73/PHW30_174	B73/PHW30	70.213	No	
B73/PHW30_175	B73/PHW30	67.995	No	
B73/PHW30_176	B73/PHW30	68.8	Yes	Average
B73/PHW30_177	B73/PHW30	68.1	No	
B73/PHW30_178	B73/PHW30	70.106	No	
B73/PHW30_179	B73/PHW30	70.298	No	
B73/PHW30_180	B73/PHW30	69.153	No	
B73/PHW30_181	B73/PHW30	66.939	No	
B73/PHW30_182	B73/PHW30	66.171	No	
B73/PHW30_183	B73/PHW30	61.473	Yes	Flat
B73/PHW30_184	B73/PHW30	60.732	No	
B73/PHW30_185	B73/PHW30	74.776	No	
B73/PHW30_186	B73/PHW30	57.45	Yes	Flat
B73/PHW30_187	B73/PHW30	71.127	No	
B73/PHW30_188	B73/PHW30	63.007	No	
B73/PHW30_189	B73/PHW30	74.206	No	
B73/PHW30_190	B73/PHW30	65.397	No	
B73/PHW30_191	B73/PHW30	73.451	No	
B73/PHW30_192	B73/PHW30	70.822	No	
B73/PHW30_193	B73/PHW30	74.429	No	
B73/PHW30_194	B73/PHW30	45	No	
B73/PHW30_195	B73/PHW30	65.522	No	
B73/PHW30_196	B73/PHW30	68.2	Yes	Average
B73/PHW30_197	B73/PHW30	67.143	No	
B73/PHW30_198	B73/PHW30	71.476	No	
B73/PHW30_199	B73/PHW30	66.514	No	
B73/PHW30_200	B73/PHW30	67.911	No	
B73/PHW30_201	B73/PHW30	75.566	Yes	Upright
B73/PHW30_202	B73/PHW30	71.552	No	
B73/PHW30_203	B73/PHW30	64.092	No	
B73/PHW30_204	B73/PHW30	61.255	No	
B73/PHW30_205	B73/PHW30	62.605	No	
B73/PHW30_206	B73/PHW30	64.703	No	
B73/PHW30_207	B73/PHW30	57.354	Yes	Flat
B73/PHW30_208	B73/PHW30	64.946	No	
B73/PHW30_209	B73/PHW30	68.253	No	
B73/PHW30_210	B73/PHW30	73.581	No	
B73/PHW30_211	B73/PHW30	68.751	Yes	Average
B73/PHW30_212	B73/PHW30	61.17	No	
B73/PHW30_213	B73/PHW30	67.209	No	
B73/PHW30_214	B73/PHW30	55.786	Yes	Flat
B73/PHW30_215	B73/PHW30	67.488	No	
B73/PHW30_216	B73/PHW30	70.069	No	
B73/PHW30_217	B73/PHW30	62.079	No	
B73/PHW30_218	B73/PHW30	63.856	No	
B73/PHW30_219	B73/PHW30	65.399	No	
B73/PHW30_220	B73/PHW30	60.399	No	
B73/PHW30_221	B73/PHW30	57.501	No	
B73/PHW30_222	B73/PHW30	72.218	No	
B73/PHW30_223	B73/PHW30	72.484	No	
B73/PHW30_224	B73/PHW30	70.398	No	
B73/PHW30_225	B73/PHW30	63.335	No	
B73/PHW30_226	B73/PHW30	75.416	Yes	Upright
B73/PHW30_227	B73/PHW30	63.301	No	
B73/PHW30_228	B73/PHW30	72.716	No	
B73/PHW30_229	B73/PHW30	69.174	Yes	Average
B73/PHW30_230	B73/PHW30	67.183	No	
B73/PHW30_231	B73/PHW30	66.945	No	
B73/PHW30_232	B73/PHW30	73.857	No	
B73/PHW30_233	B73/PHW30	69.384	No	
B73/PHW30_234	B73/PHW30	75.51	Yes	Upright
B73/PHW30_235	B73/PHW30	70.935	No	
B73/PHW30_236	B73/PHW30	62.667	No	
B73/PHW30_237	B73/PHW30	59.231	Yes	Flat
B73/PHW30_238	B73/PHW30	71.402	No	
B73/PHW30_239	B73/PHW30	71.84	No	
B73/PHW30_240	B73/PHW30	69.69	No	
B73/PHW30_241	B73/PHW30	68.749	No	
B73/PHW30_242	B73/PHW30	75.301	No	
B73/PHW30_243	B73/PHW30	70.656	No	
B73/PHW30_244	B73/PHW30	53.68	No	
B73/PHW30_245	B73/PHW30	73.37	No	
B73/PHW30_246	B73/PHW30	64.742	No	
B73/PHW30_247	B73/PHW30	63.013	No	
B73/PHW30_248	B73/PHW30	68.272	No	
B73/PHW30_249	B73/PHW30	67.289	No	
B73/PHW30_250	B73/PHW30	68.031	No	
B73/PHW30_251	B73/PHW30	52.839	Yes	Flat
B73/PHW30_252	B73/PHW30	69.266	Yes	Average
B73/PHW30_253	B73/PHW30	69.034	No	
B73/PHW30_254	B73/PHW30	64.865	No	
B73/PHW30_255	B73/PHW30	74.304	No	
B73/PHW30_256	B73/PHW30	75.511	Yes	Upright
B73/PHW30_257	B73/PHW30	72.313	No	
B73/PHW30_258	B73/PHW30	60.309	Yes	Flat
B73/PHW30_259	B73/PHW30	61.253	No	
B73/PHW30_260	B73/PHW30	61.116	No	
B73/PHW30_261	B73/PHW30	73.463	No	
B73/PHW30_262	B73/PHW30	69.399	No	
B73/PHW30_263	B73/PHW30	61.039	No	
B73/PHW30_264	B73/PHW30	61.735	No	
B73/PHW30_265	B73/PHW30	70.845	No	
B73/PHW30_266	B73/PHW30	62.063	No	
B73/PHW30_267	B73/PHW30	74.087	No	
B73/PHW30_268	B73/PHW30	76.306	No	
B73/PHW30_269	B73/PHW30	72.6	No	
B73/PHW30_270	B73/PHW30	67.796	No	
B73/PHW30_271	B73/PHW30	63.562	No	
B73/PHW30_272	B73/PHW30	74.541	No	
B73/PHW30_273	B73/PHW30	68.861	No	
B73/PHW30_274	B73/PHW30	68.679	No	
B73/PHW30_275	B73/PHW30	68.315	Yes	Average
B73/PHW30_276	B73/PHW30	58.59	No	
B73/PHW30_277	B73/PHW30	65.28	No	
B73/PHW30_278	B73/PHW30	70.278	No	
B73/PHW30_279	B73/PHW30	71.608	No	
B73/PHW30_280	B73/PHW30	67.062	No	
B73/PHW30_281	B73/PHW30	66.485	No	
B73/PHW30_282	B73/PHW30	60.817	No	
B73/PHW30_283	B73/PHW30	67.386	No	
B73/PHW30_284	B73/PHW30	64.509	No	
B73/PHW30_285	B73/PHW30	75.58	Yes	Upright
B73/PHW30_286	B73/PHW30	73.347	No	
B73/PHW30_287	B73/PHW30	63.172	No	
B73/PHW30_288	B73/PHW30	75.857	Yes	Upright
B73/PHW30_289	B73/PHW30	67.631	No	
B73/PHW30_290	B73/PHW30	62.226	No	
B73/PHW30_291	B73/PHW30	71.907	No	
B73/PHW30_292	B73/PHW30	63.476	No	
B73/PHW30_293	B73/PHW30	70.351	No	
B73/PHW30_294	B73/PHW30	64.168	No	
B73/PHW30_295	B73/PHW30	74.28	No	
B73/PHW30_296	B73/PHW30	66.036	No	
B73/PHW30_297	B73/PHW30	67.8	No	
B73/PHW30_298	B73/PHW30	66.024	No	
B73/PHW30_299	B73/PHW30	74.493	No	
B73/PHW30_300	B73/PHW30	58.901	Yes	Flat
B73/PHW30_301	B73/PHW30	69.452	No	
B73/PHW30_302	B73/PHW30	56.829	Yes	Flat
B73/PHW30_303	B73/PHW30	72.588	No	
B73/PHW30_304	B73/PHW30	64.579	No	
B73/PHW30_305	B73/PHW30	72.737	No	
B73/PHW30_306	B73/PHW30	67.804	No	
