Genotype	Population	LA	Selected	Group
PHW30	Parent	73.139	No	
PHW30	Parent	73.389	No	
PHW30	Parent	72.35	No	
PHW30	Parent	77.304	No	
PHW30	Parent	78.939	No	
PHW30	Parent	75.744	No	
PHW30	Parent	76.521	No	
PHW30	Parent	77.798	No	
PHW30	Parent	79.265	No	
PHW30	Parent	78.497	No	
PHW30	Parent	68.436	No	
PHW30	Parent	77.6	No	
PHW30	Parent	78.473	No	
PHW30	Parent	71.454	No	
PHW30	Parent	74.194	No	
PHW30	Parent	80.711	No	
PHW30	Parent	75.453	No	
PHW30	Parent	79.239	No	
PHW30	Parent	73.814	No	
PHW30	Parent	74.161	No	
PHW30	Parent	71.385	No	
PHW30	Parent	75.488	No	
PHW30	Parent	73.778	No	
PHW30	Parent	74.645	No	
PHW30	Parent	71.077	No	
PHW30	Parent	75.025	No	
PHW30	Parent	75.794	No	
PHW30	Parent	75.444	No	
PHW30	Parent	77	No	
PHW30	Parent	75	No	
PHW30	Parent	72	No	
PHW30	Parent	78	No	
PHW30	Parent	81	No	
PHW30	Parent	73	No	
PHW30	Parent	74	No	
PHW30	Parent	73	No	
PHW30	Parent	73	No	
PHW30	Parent	80	No	
PHW30	Parent	77	No	
PHW30	Parent	71	No	
PHW30	Parent	80	No	
PHW30	Parent	76	No	
PHW30	Parent	79	No	
PHW30	Parent	78	No	
PHW30	Parent	74	No	
PHW30	Parent	71	No	
PHW30	Parent	75	No	
PHW30	Parent	76	No	
PHW30	Parent	74	No	
PHW30	Parent	75	No	
PHW30	Parent	72	No	
PHW30	Parent	76	No	
PHW30/B73	F1	63.02	No	
PHW30/B73	F1	75.283	No	
PHW30/B73	F1	69.233	No	
PHW30/B73	F1	68.949	No	
PHW30/B73	F1	71.511	No	
PHW30/B73	F1	67.611	No	
PHW30/B73	F1	72.457	No	
PHW30/B73	F1	74.318	No	
PHW30/B73	F1	69.612	No	
PHW30/B73	F1	70.043	No	
PHW30/B73	F1	68.06	No	
PHW30/B73	F1	69.857	No	
PHW30/B73	F1	70.928	No	
PHW30/B73	F1	65.574	No	
PHW30/B73	F1	68.842	No	
PHW30/B73	F1	63.602	No	
PHW30/B73	F1	67.964	No	
PHW30/B73	F1	66.429	No	
PHW30/B73	F1	73.486	No	
PHW30/B73	F1	73.615	No	
PHW30/B73	F1	63.106	No	
PHW30/B73	F1	69.014	No	
PHW30/B73	F1	65.206	No	
PHW30/B73	F1	67.39	No	
PHW30/B73	F1	50.944	No	
PHW30/B73	F1	44.791	No	
PHW30/B73	F1	71.649	No	
PHW30/B73	F1	71.195	No	
PHW30/B73	F1	72.658	No	
PHW30/B73	F1	64.604	No	
PHW30/B73	F1	66.567	No	
PHW30/B73	F1	68.23	No	
PHW30/B73	F1	64.018	No	
PHW30/B73	F1	68.21	No	
PHW30/B73	F1	74.238	No	
PHW30/B73	F1	65.105	No	
PHW30/B73	F1	68.109	No	
PHW30/B73	F1	64.447	No	
PHW30/B73	F1	76.068	No	
PHW30/B73	F1	74.115	No	
PHW30/B73	F1	65.959	No	
PHW30/B73	F1	67.119	No	
PHW30/B73	F1	69.104	No	
PHW30/B73	F1	75.132	No	
PHW30/B73	F1	69.051	No	
PHW30/B73	F1	64.907	No	
PHW30/B73	F1	67.869	No	
PHW30/B73	F1	71.227	No	
PHW30/B73	F1	55.826	No	
PHW30/B73_001	PHW30/B73	NA	No	
PHW30/B73_002	PHW30/B73	56.507	Yes	Flat
PHW30/B73_003	PHW30/B73	70.504	No	
PHW30/B73_004	PHW30/B73	71.232	No	
PHW30/B73_005	PHW30/B73	68.991	Yes	Average
PHW30/B73_006	PHW30/B73	66.451	Yes	Average
PHW30/B73_007	PHW30/B73	75.819	Yes	Upright
PHW30/B73_008	PHW30/B73	73.567	No	
PHW30/B73_009	PHW30/B73	78.157	Yes	Upright
PHW30/B73_010	PHW30/B73	71.694	No	
PHW30/B73_011	PHW30/B73	67.65	No	
PHW30/B73_012	PHW30/B73	63.296	No	
PHW30/B73_013	PHW30/B73	69.468	No	
PHW30/B73_014	PHW30/B73	65.6	No	
PHW30/B73_015	PHW30/B73	65.75	Yes	Average
PHW30/B73_016	PHW30/B73	71.802	No	
PHW30/B73_017	PHW30/B73	70.564	No	
PHW30/B73_018	PHW30/B73	75.079	No	
PHW30/B73_019	PHW30/B73	71.016	No	
PHW30/B73_020	PHW30/B73	80.932	No	
PHW30/B73_021	PHW30/B73	66.182	No	
PHW30/B73_022	PHW30/B73	72.639	No	
PHW30/B73_023	PHW30/B73	65.854	No	
PHW30/B73_024	PHW30/B73	68.461	No	
PHW30/B73_025	PHW30/B73	69.428	No	
PHW30/B73_026	PHW30/B73	69.169	No	
PHW30/B73_027	PHW30/B73	73.297	No	
PHW30/B73_028	PHW30/B73	63.604	No	
PHW30/B73_029	PHW30/B73	75.657	Yes	Upright
PHW30/B73_030	PHW30/B73	75.184	No	
PHW30/B73_031	PHW30/B73	61.688	No	
PHW30/B73_032	PHW30/B73	72.087	No	
PHW30/B73_033	PHW30/B73	64.204	No	
PHW30/B73_034	PHW30/B73	67.351	No	
PHW30/B73_035	PHW30/B73	63.095	No	
PHW30/B73_036	PHW30/B73	64.99	No	
PHW30/B73_037	PHW30/B73	74.744	No	
PHW30/B73_038	PHW30/B73	68.706	No	
PHW30/B73_039	PHW30/B73	75.455	No	
PHW30/B73_040	PHW30/B73	68.631	No	
PHW30/B73_041	PHW30/B73	64.004	No	
PHW30/B73_042	PHW30/B73	66.184	No	
PHW30/B73_043	PHW30/B73	64.349	No	
PHW30/B73_044	PHW30/B73	71.418	No	
PHW30/B73_045	PHW30/B73	67.383	Yes	Average
PHW30/B73_046	PHW30/B73	69.038	No	
PHW30/B73_047	PHW30/B73	65.276	No	
PHW30/B73_048	PHW30/B73	63.338	No	
PHW30/B73_049	PHW30/B73	71.402	No	
PHW30/B73_050	PHW30/B73	70.594	No	
PHW30/B73_051	PHW30/B73	63.898	No	
PHW30/B73_052	PHW30/B73	71.565	No	
PHW30/B73_053	PHW30/B73	70.075	No	
PHW30/B73_054	PHW30/B73	64.136	No	
PHW30/B73_055	PHW30/B73	78.959	Yes	Upright
PHW30/B73_056	PHW30/B73	66.861	No	
PHW30/B73_057	PHW30/B73	72.516	No	
PHW30/B73_058	PHW30/B73	72.571	No	
PHW30/B73_059	PHW30/B73	65.204	No	
PHW30/B73_060	PHW30/B73	78.261	Yes	Upright
PHW30/B73_061	PHW30/B73	62.994	No	
PHW30/B73_062	PHW30/B73	68.631	No	
PHW30/B73_063	PHW30/B73	68.053	No	
PHW30/B73_064	PHW30/B73	59.961	Yes	Flat
PHW30/B73_065	PHW30/B73	73.428	No	
PHW30/B73_066	PHW30/B73	64.6	Yes	Average
PHW30/B73_067	PHW30/B73	74.439	No	
PHW30/B73_068	PHW30/B73	74.724	No	
PHW30/B73_069	PHW30/B73	70.792	No	
PHW30/B73_070	PHW30/B73	61.928	No	
PHW30/B73_071	PHW30/B73	65.342	No	
PHW30/B73_072	PHW30/B73	65.515	No	
PHW30/B73_073	PHW30/B73	72.724	No	
PHW30/B73_074	PHW30/B73	69.486	No	
PHW30/B73_075	PHW30/B73	73.11	No	
PHW30/B73_076	PHW30/B73	65.245	No	
PHW30/B73_077	PHW30/B73	67.338	No	
PHW30/B73_078	PHW30/B73	78.189	Yes	Upright
PHW30/B73_079	PHW30/B73	73.232	No	
PHW30/B73_080	PHW30/B73	55.846	No	
PHW30/B73_081	PHW30/B73	61.444	No	
PHW30/B73_082	PHW30/B73	71.401	No	
PHW30/B73_083	PHW30/B73	63.97	No	
PHW30/B73_084	PHW30/B73	77.399	Yes	Upright
PHW30/B73_085	PHW30/B73	65.394	No	
PHW30/B73_086	PHW30/B73	65.881	No	
PHW30/B73_087	PHW30/B73	59.42	No	
PHW30/B73_088	PHW30/B73	50.173	No	
PHW30/B73_089	PHW30/B73	59.695	No	
PHW30/B73_090	PHW30/B73	72.38	No	
PHW30/B73_091	PHW30/B73	69.097	No	
PHW30/B73_092	PHW30/B73	64.344	No	
PHW30/B73_093	PHW30/B73	70.251	No	
PHW30/B73_094	PHW30/B73	77.858	Yes	Upright
PHW30/B73_095	PHW30/B73	74.34	No	
PHW30/B73_096	PHW30/B73	66.518	No	
PHW30/B73_097	PHW30/B73	76.151	Yes	Upright
PHW30/B73_098	PHW30/B73	70.271	No	
PHW30/B73_099	PHW30/B73	64.962	No	
PHW30/B73_100	PHW30/B73	71.887	No	
PHW30/B73_101	PHW30/B73	67.827	No	
PHW30/B73_102	PHW30/B73	68.212	No	
PHW30/B73_103	PHW30/B73	69.708	No	
PHW30/B73_104	PHW30/B73	70.825	No	
PHW30/B73_105	PHW30/B73	70.018	No	
PHW30/B73_106	PHW30/B73	70.352	No	
PHW30/B73_107	PHW30/B73	62.832	No	
PHW30/B73_108	PHW30/B73	66.296	No	
PHW30/B73_109	PHW30/B73	70.376	No	
PHW30/B73_110	PHW30/B73	65.324	No	
PHW30/B73_111	PHW30/B73	60.919	No	
PHW30/B73_112	PHW30/B73	72.752	No	
PHW30/B73_113	PHW30/B73	70.554	No	
PHW30/B73_114	PHW30/B73	59.987	No	
PHW30/B73_115	PHW30/B73	68.784	No	
PHW30/B73_116	PHW30/B73	75.341	No	
PHW30/B73_117	PHW30/B73	76.744	No	
PHW30/B73_118	PHW30/B73	69.061	No	
PHW30/B73_119	PHW30/B73	75.642	No	
PHW30/B73_120	PHW30/B73	69.009	No	
PHW30/B73_121	PHW30/B73	67.401	Yes	Average
PHW30/B73_122	PHW30/B73	68.689	No	
PHW30/B73_123	PHW30/B73	76.943	Yes	Upright
PHW30/B73_124	PHW30/B73	66.842	No	
PHW30/B73_125	PHW30/B73	65.944	No	
PHW30/B73_126	PHW30/B73	72.945	No	
PHW30/B73_127	PHW30/B73	63.63	No	
PHW30/B73_128	PHW30/B73	69.745	No	
PHW30/B73_129	PHW30/B73	69.854	No	
PHW30/B73_130	PHW30/B73	64.032	No	
PHW30/B73_131	PHW30/B73	71.664	No	
PHW30/B73_132	PHW30/B73	62.408	No	
PHW30/B73_133	PHW30/B73	68.767	No	
PHW30/B73_134	PHW30/B73	75.543	No	
PHW30/B73_135	PHW30/B73	70.016	No	
PHW30/B73_136	PHW30/B73	76.189	Yes	Upright
PHW30/B73_137	PHW30/B73	79.758	No	
PHW30/B73_138	PHW30/B73	67.141	Yes	Average
PHW30/B73_139	PHW30/B73	55.818	Yes	Flat
PHW30/B73_140	PHW30/B73	67.241	No	
PHW30/B73_141	PHW30/B73	59.72	No	
PHW30/B73_142	PHW30/B73	71.487	No	
PHW30/B73_143	PHW30/B73	54.633	Yes	Flat
PHW30/B73_144	PHW30/B73	65.077	No	
PHW30/B73_145	PHW30/B73	66.169	No	
PHW30/B73_146	PHW30/B73	63.367	No	
PHW30/B73_147	PHW30/B73	66.882	Yes	Average
PHW30/B73_148	PHW30/B73	74.246	No	
PHW30/B73_149	PHW30/B73	68.456	No	
PHW30/B73_150	PHW30/B73	75.026	No	
PHW30/B73_151	PHW30/B73	58.979	No	
PHW30/B73_152	PHW30/B73	71.805	No	
PHW30/B73_153	PHW30/B73	70.196	No	
PHW30/B73_154	PHW30/B73	65.931	No	
PHW30/B73_155	PHW30/B73	73.469	No	
PHW30/B73_156	PHW30/B73	63.452	No	
PHW30/B73_157	PHW30/B73	78.734	Yes	Upright
PHW30/B73_158	PHW30/B73	61.862	No	
PHW30/B73_159	PHW30/B73	74.093	No	
PHW30/B73_160	PHW30/B73	71.442	No	
PHW30/B73_161	PHW30/B73	67.462	Yes	Average
PHW30/B73_162	PHW30/B73	69.652	No	
PHW30/B73_163	PHW30/B73	69.289	No	
PHW30/B73_164	PHW30/B73	63.126	No	
PHW30/B73_165	PHW30/B73	72.696	No	
PHW30/B73_166	PHW30/B73	66.049	No	
PHW30/B73_167	PHW30/B73	74.811	No	
PHW30/B73_168	PHW30/B73	72.22	No	
PHW30/B73_169	PHW30/B73	55.766	Yes	Flat
PHW30/B73_170	PHW30/B73	70.737	No	
PHW30/B73_171	PHW30/B73	72.547	No	
PHW30/B73_172	PHW30/B73	71.676	No	
PHW30/B73_173	PHW30/B73	72.559	No	
PHW30/B73_174	PHW30/B73	66.463	No	
PHW30/B73_175	PHW30/B73	72.443	No	
PHW30/B73_176	PHW30/B73	70.892	No	
PHW30/B73_177	PHW30/B73	69.573	No	
PHW30/B73_178	PHW30/B73	68.389	No	
PHW30/B73_179	PHW30/B73	72.512	No	
PHW30/B73_180	PHW30/B73	74.446	No	
PHW30/B73_181	PHW30/B73	62.284	No	
PHW30/B73_182	PHW30/B73	69.111	No	
PHW30/B73_183	PHW30/B73	71.523	No	
PHW30/B73_184	PHW30/B73	53.341	Yes	Flat
PHW30/B73_185	PHW30/B73	70.245	No	
PHW30/B73_186	PHW30/B73	72.122	No	
PHW30/B73_187	PHW30/B73	69.026	No	
PHW30/B73_188	PHW30/B73	74.039	No	
PHW30/B73_189	PHW30/B73	62.214	No	
PHW30/B73_190	PHW30/B73	71.866	No	
PHW30/B73_191	PHW30/B73	69.96	No	
PHW30/B73_192	PHW30/B73	72.751	No	
PHW30/B73_193	PHW30/B73	67.766	Yes	Average
PHW30/B73_194	PHW30/B73	72.584	No	
PHW30/B73_195	PHW30/B73	63.891	No	
PHW30/B73_196	PHW30/B73	57.101	No	
PHW30/B73_197	PHW30/B73	68.354	No	
PHW30/B73_198	PHW30/B73	72.365	No	
PHW30/B73_199	PHW30/B73	56.535	No	
PHW30/B73_200	PHW30/B73	77.405	Yes	Upright
PHW30/B73_201	PHW30/B73	71.386	No	
PHW30/B73_202	PHW30/B73	71.82	No	
PHW30/B73_203	PHW30/B73	63.854	No	
PHW30/B73_204	PHW30/B73	56.408	Yes	Flat
PHW30/B73_205	PHW30/B73	71.008	No	
PHW30/B73_206	PHW30/B73	66.693	No	
PHW30/B73_207	PHW30/B73	60.366	No	
PHW30/B73_208	PHW30/B73	63.92	No	
PHW30/B73_209	PHW30/B73	65.113	No	
PHW30/B73_210	PHW30/B73	70.467	No	
PHW30/B73_211	PHW30/B73	63.937	No	
PHW30/B73_212	PHW30/B73	66.061	No	
PHW30/B73_213	PHW30/B73	74.425	No	
PHW30/B73_214	PHW30/B73	66.399	No	
PHW30/B73_215	PHW30/B73	68.658	No	
PHW30/B73_216	PHW30/B73	63.265	No	
PHW30/B73_217	PHW30/B73	77.051	No	
PHW30/B73_218	PHW30/B73	71.744	No	
PHW30/B73_219	PHW30/B73	67.636	No	
PHW30/B73_220	PHW30/B73	67.235	No	
PHW30/B73_221	PHW30/B73	57.732	Yes	Flat
PHW30/B73_222	PHW30/B73	69.489	No	
PHW30/B73_223	PHW30/B73	63.009	No	
PHW30/B73_224	PHW30/B73	67.224	Yes	Average
PHW30/B73_225	PHW30/B73	63.324	No	
PHW30/B73_226	PHW30/B73	58.636	No	
PHW30/B73_227	PHW30/B73	73.983	No	
PHW30/B73_228	PHW30/B73	74.129	No	
PHW30/B73_229	PHW30/B73	55.953	Yes	Flat
PHW30/B73_230	PHW30/B73	74.157	No	
PHW30/B73_231	PHW30/B73	69.138	No	
PHW30/B73_232	PHW30/B73	75.985	Yes	Upright
PHW30/B73_233	PHW30/B73	66.267	No	
PHW30/B73_234	PHW30/B73	76.692	No	
PHW30/B73_235	PHW30/B73	68.504	No	
PHW30/B73_236	PHW30/B73	62.778	No	
PHW30/B73_237	PHW30/B73	73.684	No	
PHW30/B73_238	PHW30/B73	66.972	No	
PHW30/B73_239	PHW30/B73	65.543	No	
PHW30/B73_240	PHW30/B73	74.613	No	
PHW30/B73_241	PHW30/B73	77.93	Yes	Upright
PHW30/B73_242	PHW30/B73	69.671	No	
PHW30/B73_243	PHW30/B73	67	Yes	Average
PHW30/B73_244	PHW30/B73	70.929	No	
PHW30/B73_245	PHW30/B73	71.866	No	
PHW30/B73_246	PHW30/B73	72.93	No	
PHW30/B73_247	PHW30/B73	61.393	No	
PHW30/B73_248	PHW30/B73	62.947	No	
PHW30/B73_249	PHW30/B73	65.627	No	
PHW30/B73_250	PHW30/B73	74.149	No	
PHW30/B73_251	PHW30/B73	70.456	No	
PHW30/B73_252	PHW30/B73	68.914	No	
PHW30/B73_253	PHW30/B73	69.382	No	
PHW30/B73_254	PHW30/B73	63.92	No	
PHW30/B73_255	PHW30/B73	62.537	No	
PHW30/B73_256	PHW30/B73	68.766	No	
PHW30/B73_257	PHW30/B73	72.299	No	
PHW30/B73_258	PHW30/B73	49.486	Yes	Flat
PHW30/B73_259	PHW30/B73	45.979	No	
PHW30/B73_260	PHW30/B73	67.183	No	
PHW30/B73_261	PHW30/B73	71.784	No	
PHW30/B73_262	PHW30/B73	65.615	No	
PHW30/B73_263	PHW30/B73	58.888	No	
PHW30/B73_264	PHW30/B73	59.462	No	
PHW30/B73_265	PHW30/B73	74.569	No	
PHW30/B73_266	PHW30/B73	71.715	No	
PHW30/B73_267	PHW30/B73	66.623	No	
PHW30/B73_268	PHW30/B73	69.867	No	
PHW30/B73_269	PHW30/B73	55.709	Yes	Flat
PHW30/B73_270	PHW30/B73	66.256	No	
PHW30/B73_271	PHW30/B73	66.598	No	
PHW30/B73_272	PHW30/B73	72.187	No	
PHW30/B73_273	PHW30/B73	61.283	No	
PHW30/B73_274	PHW30/B73	79.926	No	
PHW30/B73_275	PHW30/B73	68.502	No	
PHW30/B73_276	PHW30/B73	71.311	No	
PHW30/B73_277	PHW30/B73	69.876	No	
PHW30/B73_278	PHW30/B73	76.48	Yes	Upright
PHW30/B73_279	PHW30/B73	65.016	No	
PHW30/B73_280	PHW30/B73	60.839	No	
PHW30/B73_281	PHW30/B73	55.427	Yes	Flat
PHW30/B73_282	PHW30/B73	66.736	No	
PHW30/B73_283	PHW30/B73	73.124	No	
PHW30/B73_284	PHW30/B73	63.684	No	
PHW30/B73_285	PHW30/B73	71.032	No	
PHW30/B73_286	PHW30/B73	61.058	No	
PHW30/B73_287	PHW30/B73	57.677	Yes	Flat
PHW30/B73_288	PHW30/B73	60.39	No	
PHW30/B73_289	PHW30/B73	76.023	Yes	Upright
PHW30/B73_290	PHW30/B73	67.558	No	
PHW30/B73_291	PHW30/B73	59.761	No	
PHW30/B73_292	PHW30/B73	67.114	Yes	Average
PHW30/B73_293	PHW30/B73	71.58	No	
PHW30/B73_294	PHW30/B73	64.725	No	
PHW30/B73_295	PHW30/B73	48.85	No	
PHW30/B73_296	PHW30/B73	73.274	No	
PHW30/B73_297	PHW30/B73	71.094	No	
PHW30/B73_298	PHW30/B73	70.343	No	
PHW30/B73_299	PHW30/B73	68.774	No	
PHW30/B73_300	PHW30/B73	62.059	No	
PHW30/B73_301	PHW30/B73	74.975	No	
PHW30/B73_302	PHW30/B73	52.168	Yes	Flat
PHW30/B73_303	PHW30/B73	70.235	No	
PHW30/B73_304	PHW30/B73	77.008	No	
PHW30/B73_305	PHW30/B73	64.875	No	
PHW30/B73_306	PHW30/B73	71.013	No	
PHW30/B73_307	PHW30/B73	60.904	No	
PHW30/B73_308	PHW30/B73	63.855	No	
PHW30/B73_309	PHW30/B73	74.773	No	
PHW30/B73_310	PHW30/B73	70.126	No	
PHW30/B73_311	PHW30/B73	56.585	Yes	Flat
PHW30/B73_312	PHW30/B73	62.976	No	
PHW30/B73_313	PHW30/B73	67.338	No	
PHW30/B73_314	PHW30/B73	71.91	No	
PHW30/B73_315	PHW30/B73	70.877	No	
PHW30/B73_316	PHW30/B73	75.479	No	
PHW30/B73_317	PHW30/B73	63.699	No	
PHW30/B73_318	PHW30/B73	68.39	No	
PHW30/B73_319	PHW30/B73	68.758	No	
PHW30/B73_320	PHW30/B73	64.901	No	
PHW30/B73_321	PHW30/B73	60.923	No	
PHW30/B73_322	PHW30/B73	70.813	No	
PHW30/B73_323	PHW30/B73	66.539	No	
PHW30/B73_324	PHW30/B73	56.485	Yes	Flat
PHW30/B73_325	PHW30/B73	71.712	No	
PHW30/B73_326	PHW30/B73	47.767	Yes	Flat
PHW30/B73_327	PHW30/B73	70.68	No	
PHW30/B73_328	PHW30/B73	60.67	No	
PHW30/B73_329	PHW30/B73	72.582	No	
PHW30/B73_330	PHW30/B73	58.751	No	
PHW30/B73_331	PHW30/B73	58.982	No	
PHW30/B73_332	PHW30/B73	73.183	No	
PHW30/B73_333	PHW30/B73	64.579	No	
PHW30/B73_334	PHW30/B73	53.992	Yes	Flat
PHW30/B73_335	PHW30/B73	68.621	No	
PHW30/B73_336	PHW30/B73	66.832	Yes	Average
PHW30/B73_337	PHW30/B73	64.316	No	
PHW30/B73_338	PHW30/B73	58.679	No	
PHW30/B73_339	PHW30/B73	71.592	No	
PHW30/B73_340	PHW30/B73	64.752	No	
PHW30/B73_341	PHW30/B73	53.083	Yes	Flat
PHW30/B73_342	PHW30/B73	73.22	No	
PHW30/B73_343	PHW30/B73	62.197	No	
PHW30/B73_344	PHW30/B73	69.9	No	
PHW30/B73_345	PHW30/B73	62.362	No	
PHW30/B73_346	PHW30/B73	69.552	No	
PHW30/B73_347	PHW30/B73	69.555	No	
PHW30/B73_348	PHW30/B73	72.137	No	
PHW30/B73_349	PHW30/B73	66.586	Yes	Average
PHW30/B73_350	PHW30/B73	66.338	No	
PHW30/B73_351	PHW30/B73	47.104	Yes	Flat
PHW30/B73_352	PHW30/B73	78.457	Yes	Upright
PHW30/B73_353	PHW30/B73	65.416	No	
PHW30/B73_354	PHW30/B73	75.079	No	
PHW30/B73_355	PHW30/B73	76.597	Yes	Upright
PHW30/B73_356	PHW30/B73	72.906	No	
PHW30/B73_357	PHW30/B73	67.233	No	
PHW30/B73_358	PHW30/B73	73.952	No	
PHW30/B73_359	PHW30/B73	72.646	No	
PHW30/B73_360	PHW30/B73	68.887	No	
PHW30/B73_361	PHW30/B73	66.117	No	
PHW30/B73_362	PHW30/B73	62.668	No	
PHW30/B73_363	PHW30/B73	63.568	No	
PHW30/B73_364	PHW30/B73	70.385	No	
PHW30/B73_365	PHW30/B73	71.117	No	
PHW30/B73_366	PHW30/B73	59.794	No	
PHW30/B73_367	PHW30/B73	64.332	No	
PHW30/B73_368	PHW30/B73	64.727	No	
PHW30/B73_369	PHW30/B73	73.13	No	
PHW30/B73_370	PHW30/B73	68.223	No	
PHW30/B73_371	PHW30/B73	65.018	No	
PHW30/B73_372	PHW30/B73	76.821	Yes	Upright
PHW30/B73_373	PHW30/B73	69.197	No	
PHW30/B73_374	PHW30/B73	73.923	No	
PHW30/B73_375	PHW30/B73	72.15	No	
PHW30/B73_376	PHW30/B73	64.134	No	
PHW30/B73_377	PHW30/B73	65.896	No	
PHW30/B73_378	PHW30/B73	71.214	No	
PHW30/B73_379	PHW30/B73	65.522	No	
PHW30/B73_380	PHW30/B73	63.693	No	
PHW30/B73_381	PHW30/B73	68.389	No	
PHW30/B73_382	PHW30/B73	63.194	No	
PHW30/B73_383	PHW30/B73	66.574	No	
PHW30/B73_384	PHW30/B73	68.334	No	
PHW30/B73_385	PHW30/B73	70.796	No	
PHW30/B73_386	PHW30/B73	79.142	Yes	Upright
PHW30/B73_387	PHW30/B73	68.753	No	
PHW30/B73_388	PHW30/B73	73.781	No	
PHW30/B73_389	PHW30/B73	69.94	No	
PHW30/B73_390	PHW30/B73	57.074	Yes	Flat
PHW30/B73_391	PHW30/B73	72.283	No	
PHW30/B73_392	PHW30/B73	71.445	No	
PHW30/B73_393	PHW30/B73	65.619	No	
PHW30/B73_394	PHW30/B73	60.985	No	
PHW30/B73_395	PHW30/B73	69.263	No	
PHW30/B73_396	PHW30/B73	51.744	No	
PHW30/B73_397	PHW30/B73	66.155	No	
PHW30/B73_398	PHW30/B73	60.854	No	
PHW30/B73_399	PHW30/B73	75.36	No	
PHW30/B73_400	PHW30/B73	72.806	No	
PHW30/B73_401	PHW30/B73	77.798	Yes	Upright
PHW30/B73_402	PHW30/B73	65.403	No	
PHW30/B73_403	PHW30/B73	59.408	No	
PHW30/B73_404	PHW30/B73	71.468	No	
PHW30/B73_405	PHW30/B73	66.323	No	
PHW30/B73_406	PHW30/B73	69.288	No	
PHW30/B73_407	PHW30/B73	67.363	No	
PHW30/B73_408	PHW30/B73	62.981	No	
PHW30/B73_409	PHW30/B73	63.512	No	
PHW30/B73_410	PHW30/B73	65.274	No	
PHW30/B73_411	PHW30/B73	71.356	No	
PHW30/B73_412	PHW30/B73	63.612	No	
PHW30/B73_413	PHW30/B73	59.417	No	
PHW30/B73_414	PHW30/B73	62.357	No	
PHW30/B73_415	PHW30/B73	75.155	No	
PHW30/B73_416	PHW30/B73	60.741	No	
PHW30/B73_417	PHW30/B73	72.601	No	
PHW30/B73_418	PHW30/B73	64.105	No	
PHW30/B73_419	PHW30/B73	58.539	No	
PHW30/B73_420	PHW30/B73	70.913	No	
PHW30/B73_421	PHW30/B73	56.942	Yes	Flat
PHW30/B73_422	PHW30/B73	68.876	No	
PHW30/B73_423	PHW30/B73	53.68	No	
PHW30/B73_424	PHW30/B73	65.603	No	
PHW30/B73_425	PHW30/B73	64.979	No	
PHW30/B73_426	PHW30/B73	68.96	No	
PHW30/B73_427	PHW30/B73	59.489	No	
PHW30/B73_428	PHW30/B73	57.784	No	
PHW30/B73_429	PHW30/B73	60.917	No	
PHW30/B73_430	PHW30/B73	66.704	No	
PHW30/B73_431	PHW30/B73	59.815	No	
PHW30/B73_432	PHW30/B73	67.267	Yes	Average
PHW30/B73_433	PHW30/B73	67.935	Yes	Average
PHW30/B73_434	PHW30/B73	67.349	Yes	Average
PHW30/B73_435	PHW30/B73	60.998	No	
PHW30/B73_436	PHW30/B73	65.977	No	
PHW30/B73_437	PHW30/B73	60.557	No	
PHW30/B73_438	PHW30/B73	73.52	No	
PHW30/B73_439	PHW30/B73	62.149	No	
PHW30/B73_440	PHW30/B73	64.665	No	
PHW30/Mo17	F1	59	No	
PHW30/Mo17	F1	61	No	
PHW30/Mo17	F1	64	No	
PHW30/Mo17	F1	69	No	
PHW30/Mo17	F1	63	No	
PHW30/Mo17	F1	69	No	
PHW30/Mo17	F1	68	No	
PHW30/Mo17	F1	73	No	
PHW30/Mo17	F1	65	No	
PHW30/Mo17	F1	58	No	
PHW30/Mo17	F1	60	No	
PHW30/Mo17	F1	73	No	
PHW30/Mo17	F1	66	No	
PHW30/Mo17	F1	76	No	
PHW30/Mo17	F1	62	No	
PHW30/Mo17	F1	64	No	
PHW30/Mo17	F1	61	No	
PHW30/Mo17	F1	70	No	
PHW30/Mo17	F1	70	No	
PHW30/Mo17	F1	69	No	
PHW30/Mo17	F1	62	No	
PHW30/Mo17	F1	64	No	
PHW30/Mo17	F1	68	No	
PHW30/Mo17	F1	72	No	
PHW30/Mo17	F1	71	No	
PHW30/Mo17	F1	68	No	
PHW30/Mo17	F1	69	No	
PHW30/Mo17	F1	69	No	
PHW30/Mo17	F1	63	No	
PHW30/Mo17	F1	63	No	
PHW30/Mo17	F1	62	No	
PHW30/Mo17	F1	66	No	
PHW30/Mo17	F1	62	No	
PHW30/Mo17	F1	70	No	
PHW30/Mo17	F1	66	No	
PHW30/Mo17	F1	68	No	
PHW30/Mo17	F1	60	No	
PHW30/Mo17	F1	68	No	
PHW30/Mo17	F1	68	No	
PHW30/Mo17	F1	62	No	
PHW30/Mo17	F1	69	No	
PHW30/Mo17	F1	62	No	
PHW30/Mo17	F1	66	No	
PHW30/Mo17	F1	69	No	
PHW30/Mo17	F1	66	No	
PHW30/Mo17	F1	70	No	
PHW30/Mo17	F1	61	No	
PHW30/Mo17_001	PHW30/Mo17	70	No	
PHW30/Mo17_002	PHW30/Mo17	71	No	
PHW30/Mo17_003	PHW30/Mo17	79.58	Yes	Upright
PHW30/Mo17_004	PHW30/Mo17	69	No	
PHW30/Mo17_005	PHW30/Mo17	75	No	
PHW30/Mo17_006	PHW30/Mo17	66	No	
